Version,TestID,TestName,Result,Status,ST,MC,BC,HD,ED,CMC,TM
7,C_3_M_2,org.apache.commons.lang3.StringUtilsTest::testJoin_ArrayOfChars,0,New,4,3,0,0,2260,0,0
7,C_3_M_3,org.apache.commons.lang3.StringUtilsTest::testJoin_ArrayOfBytes,0,New,4,3,0,0,2260,0,0
7,C_3_M_4,org.apache.commons.lang3.StringUtilsTest::testJoin_ArrayOfInts,0,New,4,3,0,0,2260,0,0
7,C_3_M_5,org.apache.commons.lang3.StringUtilsTest::testJoin_ArrayOfLongs,0,New,4,3,0,0,2260,0,0
7,C_3_M_6,org.apache.commons.lang3.StringUtilsTest::testJoin_ArrayOfFloats,0,New,4,3,0,0,2260,0,0
7,C_3_M_7,org.apache.commons.lang3.StringUtilsTest::testJoin_ArrayOfDoubles,0,New,4,3,0,0,2260,0,0
7,C_3_M_8,org.apache.commons.lang3.StringUtilsTest::testJoin_ArrayOfShorts,0,New,4,3,0,0,2260,0,0
7,C_3_M_9,org.apache.commons.lang3.StringUtilsTest::testReplacePattern,0,New,2,2,0,0,2254,0.5,0
7,C_3_M_10,org.apache.commons.lang3.StringUtilsTest::testRemovePattern,0,New,2,3,0,0,2260,0.666666667,0
7,C_4_M_1,org.apache.commons.lang3.ConversionTest::testHexDigitToInt,0,New,28,2,0,0,2254,0.5,0
7,C_4_M_2,org.apache.commons.lang3.ConversionTest::testHexDigitMsb0ToInt,0,New,28,2,0,0,2254,0.5,0
7,C_4_M_3,org.apache.commons.lang3.ConversionTest::testHexDigitToBinary,0,New,28,3,0,0,2260,0.333333333,0
7,C_4_M_4,org.apache.commons.lang3.ConversionTest::testHexDigitMsb0ToBinary,0,New,28,3,0,0,2260,0.333333333,0
7,C_4_M_5,org.apache.commons.lang3.ConversionTest::testBinaryToHexDigit,0,New,24,3,0,0,2260,0.666666667,0
7,C_4_M_6,org.apache.commons.lang3.ConversionTest::testBinaryToHexDigit_2args,0,New,13,2,0,0,2254,0.5,0
7,C_4_M_7,org.apache.commons.lang3.ConversionTest::testBinaryToHexDigitMsb0_bits,0,New,22,3,0,0,2260,0.666666667,0
7,C_4_M_8,org.apache.commons.lang3.ConversionTest::testBinaryToHexDigitMsb0_4bits_2args,0,New,16,2,0,0,2254,0.5,0
7,C_4_M_9,org.apache.commons.lang3.ConversionTest::testBinaryBeMsb0ToHexDigit,0,New,23,3,0,0,2260,0.666666667,0
7,C_4_M_10,org.apache.commons.lang3.ConversionTest::testBinaryBeMsb0ToHexDigit_2args,0,New,32,2,0,0,2254,0.5,0
7,C_4_M_11,org.apache.commons.lang3.ConversionTest::testIntToHexDigit,0,New,22,2,0,0,2254,0.5,0
7,C_4_M_12,org.apache.commons.lang3.ConversionTest::testIntToHexDigitMsb0,0,New,22,2,0,0,2254,0.5,0
7,C_4_M_13,org.apache.commons.lang3.ConversionTest::testIntArrayToLong,0,New,9,2,0,0,2254,0.5,0
7,C_4_M_14,org.apache.commons.lang3.ConversionTest::testShortArrayToLong,0,New,9,2,0,0,2254,0.5,0
7,C_4_M_15,org.apache.commons.lang3.ConversionTest::testByteArrayToLong,0,New,9,2,0,0,2254,0.5,0
7,C_4_M_16,org.apache.commons.lang3.ConversionTest::testShortArrayToInt,0,New,8,2,0,0,2254,0.5,0
7,C_4_M_17,org.apache.commons.lang3.ConversionTest::testByteArrayToInt,0,New,8,2,0,0,2254,0.5,0
7,C_4_M_18,org.apache.commons.lang3.ConversionTest::testByteArrayToShort,0,New,8,2,0,0,2254,0.5,0
7,C_4_M_19,org.apache.commons.lang3.ConversionTest::testHexToLong,0,New,8,3,0,0,2260,0.666666667,0
7,C_4_M_20,org.apache.commons.lang3.ConversionTest::testHexToInt,0,New,8,3,0,0,2260,0.666666667,0
7,C_4_M_21,org.apache.commons.lang3.ConversionTest::testHexToShort,0,New,8,3,0,0,2260,0.666666667,0
7,C_4_M_22,org.apache.commons.lang3.ConversionTest::testHexToByte,0,New,8,3,0,0,2260,0.666666667,0
7,C_4_M_23,org.apache.commons.lang3.ConversionTest::testBinaryToLong,0,New,8,2,0,0,2254,0.5,0
7,C_4_M_24,org.apache.commons.lang3.ConversionTest::testBinaryToInt,0,New,8,2,0,0,2254,0.5,0
7,C_4_M_25,org.apache.commons.lang3.ConversionTest::testBinaryToShort,0,New,8,2,0,0,2254,0.5,0
7,C_4_M_26,org.apache.commons.lang3.ConversionTest::testBinaryToByte,0,New,8,2,0,0,2254,0.5,0
7,C_4_M_27,org.apache.commons.lang3.ConversionTest::testLongToIntArray,0,New,15,2,0,0,2254,0.5,0
7,C_4_M_28,org.apache.commons.lang3.ConversionTest::testLongToShortArray,0,New,19,2,0,0,2254,0.5,0
7,C_4_M_29,org.apache.commons.lang3.ConversionTest::testIntToShortArray,0,New,15,2,0,0,2254,0.5,0
7,C_4_M_30,org.apache.commons.lang3.ConversionTest::testLongToByteArray,0,New,19,2,0,0,2254,0.5,0
7,C_4_M_31,org.apache.commons.lang3.ConversionTest::testIntToByteArray,0,New,15,2,0,0,2254,0.5,0
