Version,TestID,TestName,Result,Status,ST,MC,BC,HD,ED,CMC,TM
21,C_4_M_2,org.joda.time.TestMonthDay_Constructors::testConstructor_DateTimeZone,0,Modified,13,344,0.927325581,0.612962362,8498,0.011627907,0
21,C_4_M_3,org.joda.time.TestMonthDay_Constructors::testConstructor_Chronology,0,Modified,6,297,0.919191919,0.571161999,8201,0.006734007,0
21,C_5_M_1,org.joda.time.TestSerialization::testDuration,0,New,4,39,0.820512821,0.09327014,7869,0,0
21,C_6_M_1,org.joda.time.TestInstant_Constructors::test_now,0,New,4,191,0.942408377,0.45053815,8021,0.005235602,0
21,C_7_M_1,org.joda.time.TestLocalDateTime_Constructors::testConstructor,0,Modified,11,370,0.948648649,0.578028661,8758,0.013513514,0
21,C_7_M_2,org.joda.time.TestLocalDateTime_Constructors::testConstructor_DateTimeZone,0,Modified,23,384,0.947916667,0.574446433,8898,0.013020833,0
21,C_7_M_3,org.joda.time.TestLocalDateTime_Constructors::testConstructor_Chronology,0,Modified,11,366,0.948087432,0.573594888,8718,0.013661202,0
21,C_8_M_1,org.joda.time.TestLocalTime_Constructors::testConstructor,0,Modified,8,373,0.930294906,0.5704647,8788,0.013404826,0
21,C_8_M_2,org.joda.time.TestLocalTime_Constructors::testConstructor_DateTimeZone,0,Modified,17,387,0.930232558,0.567147073,8928,0.012919897,0
21,C_8_M_3,org.joda.time.TestLocalTime_Constructors::testConstructor_Chronology,0,Modified,8,370,0.92972973,0.567771781,8758,0.013513514,0
21,C_9_M_1,org.joda.time.TestLocalDate_Constructors::testConstructor,0,Modified,7,366,0.961748634,0.584289829,8718,0.013661202,0
21,C_9_M_2,org.joda.time.TestLocalDate_Constructors::testConstructor_DateTimeZone,0,Modified,15,380,0.960526316,0.580513467,8858,0.013157895,0
21,C_9_M_3,org.joda.time.TestLocalDate_Constructors::testConstructor_Chronology,0,Modified,7,362,0.961325967,0.579829663,8678,0.013812155,0
21,C_10_M_1,org.joda.time.TestYearMonth_Constructors::testConstructor,0,Modified,6,256,0.91796875,0.549032847,8086,0.0078125,0
21,C_10_M_2,org.joda.time.TestYearMonth_Constructors::testConstructor_DateTimeZone,0,Modified,13,302,0.927152318,0.591493869,8216,0.013245033,0
21,C_10_M_3,org.joda.time.TestYearMonth_Constructors::testConstructor_Chronology,0,Modified,6,252,0.916666667,0.543779156,8082,0.007936508,0
21,C_11_M_1,org.joda.time.TestDateTimeZoneCutover::testDateTimeCreation_europe,0,New,5,332,0.987951807,0.695979669,8378,0.009036145,0
21,C_11_M_2,org.joda.time.TestDateTimeZoneCutover::testDateTimeCreation_us,0,New,5,330,0.990909091,0.697921856,8359,0.009090909,0
21,C_12_M_1,org.joda.time.TestDateTimeZone::testGetShortName_berlin,1,New,11,230,0.973913043,0.515909092,8060,0.004347826,0
21,C_12_M_2,org.joda.time.TestDateTimeZone::testGetName_berlin,1,New,11,230,0.973913043,0.515909092,8060,0.004347826,0
21,C_13_M_1,org.joda.time.format.TestDateTimeFormatterBuilder::test_appendTimeZoneId,0,New,11,275,0.949090909,0.579913046,8135,0.018181818,0
21,C_13_M_2,org.joda.time.format.TestDateTimeFormatterBuilder::test_printParseZoneTokyo,0,New,6,320,0.953125,0.635931372,8294,0.01875,0
21,C_13_M_3,org.joda.time.format.TestDateTimeFormatterBuilder::test_printParseZoneParis,0,New,7,333,0.948948949,0.64031107,8388,0.021021021,0
21,C_13_M_4,org.joda.time.format.TestDateTimeFormatterBuilder::test_printParseOffset,0,New,8,332,0.942771084,0.627477045,8378,0.018072289,0
21,C_13_M_5,org.joda.time.format.TestDateTimeFormatterBuilder::test_printParseOffsetAndZone,0,New,8,336,0.9375,0.626639428,8418,0.023809524,0
21,C_13_M_6,org.joda.time.format.TestDateTimeFormatterBuilder::test_parseWrongOffset,0,New,7,321,0.943925234,0.615040616,8300,0.018691589,0
21,C_13_M_7,org.joda.time.format.TestDateTimeFormatterBuilder::test_parseWrongOffsetAndZone,0,New,7,325,0.938461538,0.614244465,8324,0.024615385,0
21,C_13_M_8,org.joda.time.format.TestDateTimeFormatterBuilder::test_localPrintParseZoneTokyo,0,New,7,329,0.945288754,0.629674668,8351,0.021276596,0
21,C_13_M_9,org.joda.time.format.TestDateTimeFormatterBuilder::test_localPrintParseOffset,0,New,9,333,0.942942943,0.628468221,8388,0.018018018,0
21,C_13_M_10,org.joda.time.format.TestDateTimeFormatterBuilder::test_localPrintParseOffsetAndZone,0,New,8,336,0.94047619,0.629146889,8418,0.023809524,0
21,C_13_M_11,org.joda.time.format.TestDateTimeFormatterBuilder::test_localParseWrongOffsetAndZone,0,New,7,313,0.939297125,0.612369237,8257,0.025559105,0
21,C_13_M_12,org.joda.time.format.TestDateTimeFormatterBuilder::test_printParseShortName,0,New,12,324,0.941358025,0.633074578,8318,0.015432099,0
21,C_13_M_13,org.joda.time.format.TestDateTimeFormatterBuilder::test_printParseShortNameWithLookup,0,New,17,338,0.937869822,0.632855714,8438,0.014792899,0
21,C_13_M_14,org.joda.time.format.TestDateTimeFormatterBuilder::test_printParseLongName,0,New,12,324,0.941358025,0.633074578,8318,0.015432099,0
21,C_13_M_15,org.joda.time.format.TestDateTimeFormatterBuilder::test_printParseLongNameWithLookup,0,New,17,338,0.937869822,0.632855714,8438,0.014792899,0
20,C_1_M_1,org.joda.time.TestMutableInterval_Basics::testToString,0,Modified,5,348,0.91954023,0.604602099,9234,0.002873563,0
20,C_1_M_2,org.joda.time.TestMutableInterval_Basics::testToString,0,Modified,5,348,0.91954023,0.604602099,9234,0.002873563,0
20,C_2_M_1,org.joda.time.TestInterval_Basics::testToString_reparse,0,New,5,475,0.903157895,0.56881256,11400,0.002105263,0
