Version,TestID,TestName,Result,Status,ST,MC,BC,HD,ED,CMC,TM,IBC
65,C_4_M_5,org.apache.commons.math.optimization.fitting.ParametricGaussianFunctionTest::testValue03,0,New,3,6,0.166666667,7.84E-04,1827,0.333333333,0,0.166666667
65,C_5_M_1,org.apache.commons.math.optimization.general.PowellOptimizerTest::testSumSinc,0,Modified,16,57,0.245614035,0.011363926,3509,0.175438596,0,0.245614035
65,C_6_M_1,org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest::testCircleFitting,1,Modified,42,56,0.607142857,0.019854121,3460,0.017857143,0,0.607142857
65,C_7_M_1,org.apache.commons.math.util.MathUtilsTest::testEqualsWithAllowedUlps,0,Modified,26,3,0,0,1824,0,0,0
65,C_7_M_2,org.apache.commons.math.util.MathUtilsTest::testEqualsIncludingNaNWithAllowedUlps,0,Modified,26,4,0,0,1824,0,0,0
65,C_7_M_3,org.apache.commons.math.util.MathUtilsTest::testSubAndCheckErrorMessage,0,Modified,8,7,0,0,1831,0,0,0
65,C_7_M_4,org.apache.commons.math.util.MathUtilsTest::testCheckOrder,0,Modified,25,5,0.2,8.21E-04,1825,0,0,0.2
66,C_1_M_1,org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizerTest::testSinMin,1,Modified,17,26,0.846153846,0.015711214,2066,0.153846154,0,0.846153846
66,C_1_M_2,org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizerTest::testQuinticMin,1,Modified,36,33,0.909090909,0.017052423,2282,0.121212121,1,0.909090909
66,C_2_M_1,org.apache.commons.math.optimization.general.PowellOptimizerTest::testSumSinc,0,New,16,50,0.3,0.006773425,2968,0.2,0,0.3
66,C_3_M_1,org.apache.commons.math.optimization.univariate.BrentOptimizerTest::testSinMin,1,New,26,17,0.647058824,0.010713745,1846,0.235294118,0,0.647058824
66,C_3_M_2,org.apache.commons.math.optimization.univariate.BrentOptimizerTest::testQuinticMin,0,New,8,14,0.785714286,0.006191377,1789,0.214285714,0,0.785714286
66,C_3_M_3,org.apache.commons.math.optimization.univariate.BrentOptimizerTest::testQuinticMinStatistics,1,New,25,50,0.46,0.009182455,2968,0.04,0,0.46
66,C_3_M_4,org.apache.commons.math.optimization.univariate.BrentOptimizerTest::testQuinticMax,0,New,12,15,0.8,0.008440673,1808,0.2,0,0.8
