"","output_rank_model_compiler_Ver","output_rank_model_compiler_rankIndex","output_rank_model_compiler_rankIndex_sim","output_rank_model_compiler_rankIndex_sim_mod"
"1",1,0.038961038961039,0.038961038961039,0.038961038961039
"2",2,0.4,0.4,0.4
"3",3,0.625,0.25,0.25
"4",4,0.0967741935483871,0.0887096774193548,0.0887096774193548
"5",5,0.181818181818182,0.181818181818182,0.121212121212121
"6",9,1,0.909090909090909,0.727272727272727
"7",10,0.625,0.5,0.5
"8",12,0.3,0.3,0.3
"9",13,0.0909090909090909,0.0909090909090909,0.909090909090909
"10",14,0.117647058823529,0.117647058823529,0.0588235294117647
"11",19,0.625,0.625,0.625
"12",23,0.688524590163934,0.704918032786885,0.721311475409836
"13",24,0.8,0.8,1
"14",30,0.263157894736842,0.368421052631579,0.210526315789474
"15",32,0.2,0.4,0.6
"16",33,0.4,0.4,0.4
"17",34,0.542168674698795,0.542168674698795,0.530120481927711
"18",36,0.0714285714285714,0.0714285714285714,0.0714285714285714
"19",37,0.555555555555556,0.555555555555556,0.555555555555556
"20",38,0.7,0.7,0.7
"21",39,0.857142857142857,0.714285714285714,0.714285714285714
"22",40,0.380952380952381,0.428571428571429,0.476190476190476
"23",43,0.28,0.346666666666667,0.266666666666667
"24",44,0.5,0.333333333333333,0.333333333333333
"25",45,0.25,0.25,0.05
"26",46,0.48,0.2,0.16
"27",47,0.181818181818182,0.181818181818182,0.0909090909090909
"28",49,0.0684931506849315,0.0684931506849315,0.0136986301369863
"29",50,0.294871794871795,0.269230769230769,0.0769230769230769
"30",51,0.354166666666667,0.145833333333333,0.25
"31",52,0.30188679245283,0.0943396226415094,0.0943396226415094
"32",53,0.520547945205479,0.506849315068493,0.438356164383562
"33",54,0.282051282051282,0.333333333333333,0.256410256410256
"34",55,0.681818181818182,0.681818181818182,0.0454545454545455
"35",56,0.125,0.125,0.125
"36",57,0.5,0.5,0.5
"37",58,0.91304347826087,0.891304347826087,0.91304347826087
"38",60,0.0508474576271186,0.0677966101694915,0.0508474576271186
"39",63,0.918367346938776,0.857142857142857,0.857142857142857
"40",64,0.0909090909090909,0.704545454545455,0.704545454545455
"41",65,0.785714285714286,0.75,0.892857142857143
"42",66,0.125,0.125,0.125
"43",67,0.285714285714286,0.285714285714286,0.142857142857143
"44",68,0.444444444444444,0.111111111111111,0.111111111111111
"45",69,0.315789473684211,0.210526315789474,0.263157894736842
"46",70,0.14,0.02,0.02
"47",71,0.0263157894736842,0.0263157894736842,0.0263157894736842
"48",72,0.25,0.223684210526316,0.223684210526316
"49",73,0.551724137931034,0.379310344827586,0.310344827586207
"50",74,0.529411764705882,0.735294117647059,0.617647058823529
"51",75,0.274336283185841,0.274336283185841,0.265486725663717
"52",76,0.0909090909090909,0.454545454545455,0.545454545454545
"53",80,0.986842105263158,0.986842105263158,0.973684210526316
"54",82,0.720720720720721,0.18018018018018,0.18018018018018
"55",83,0.782608695652174,0.434782608695652,0.478260869565217
"56",84,1,0.833333333333333,0.875
"57",85,0.257352941176471,0.0735294117647059,0.0808823529411765
"58",86,0.00757575757575758,0.409090909090909,0.409090909090909
"59",87,0.0967741935483871,0.709677419354839,0.548387096774194
"60",88,0.247126436781609,0.264367816091954,0.270114942528736
"61",89,0.0614035087719298,0.149122807017544,0.0789473684210526
"62",90,0.821428571428571,0.785714285714286,0.785714285714286
"63",91,0.833333333333333,0.233333333333333,0.233333333333333
"64",93,0.272727272727273,0.818181818181818,0.818181818181818
"65",94,0.473282442748092,0.389312977099237,0.389312977099237
"66",99,0.609756097560976,0.024390243902439,0.024390243902439
"67",102,1,0.4,0.4
"68",104,0.897435897435897,0.846153846153846,0.846153846153846
"69",108,0.471698113207547,0.358490566037736,0.358490566037736
"70",110,0.142857142857143,0.714285714285714,0.714285714285714
"71",111,0.615384615384615,0.615384615384615,0.641025641025641
"72",114,0.222222222222222,0.777777777777778,0.777777777777778
"73",115,0.75,0.0833333333333333,0.0833333333333333
"74",116,0.234042553191489,0.553191489361702,0.553191489361702
"75",117,0.565217391304348,0.130434782608696,0.173913043478261
"76",121,0.363636363636364,0.340909090909091,0.340909090909091
"77",122,0.210526315789474,0.631578947368421,0.631578947368421
"78",123,0.714285714285714,0.6,0.6
"79",124,0.442857142857143,0.1,0.1
"80",127,0.25,0.178571428571429,0.178571428571429
"81",129,0.755555555555556,0.888888888888889,0.866666666666667
"82",130,0.111111111111111,0.888888888888889,0.888888888888889
"83",131,0.125,0.5,0.5
"84",132,0.3125,0.625,0.5625
